Lao PDR;LAO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;634,525297
Latvia;LVA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;7622,698259
Lebanon;LBN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2752,724423
Lesotho;LSO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;533,8249642
Liberia;LBR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;754,1340095
Libya;LBY;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;11085,94399
Liechtenstein;LIE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Lithuania;LTU;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8333,350707
Luxembourg;LUX;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;66027,07501
Macao SAR, China;MAC;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;31378,83042
Madagascar;MDG;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;538,5362751
Malawi;MWI;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;353,7713037
Malaysia;MYS;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;4184,760729
Maldives;MDV;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;4582,261279
Mali;MLI;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;589,7754059
Malta;MLT;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;10067,75201
Marshall Islands;MHL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3148,099778
Mauritania;MRT;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1437,750482
Mauritius;MUS;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3859,644415
Mexico;MEX;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;8036,861144
Micronesia, Fed. Sts.;FSM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2384,944582
Moldova;MDA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3740,101498
Monaco;MCO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;105878,3728
Mongolia;MNG;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1823,456238
Montenegro;MNE;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Morocco;MAR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1695,636475
Mozambique;MOZ;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;221,0489811
Myanmar;MMR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;170,2334367
Namibia;NAM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2857,337775
Nauru;NRU;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;20706,6309
Nepal;NPL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;422,7247386
Netherlands;NLD;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;31308,91342
New Caledonia;NCL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
New Zealand;NZL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;26395,6956
Nicaragua;NIC;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1260,873828
Niger;NER;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;465,9238895
Nigeria;NGA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1577,196166
North Macedonia;MKD;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;3534,322651
Northern Mariana Islands;MNP;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;..
Norway;NOR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;49937,45576
Oman;OMN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;16629,45566
Pakistan;PAK;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;950,8846448
Palau;PLW;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;14267,20303
Panama;PAN;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;4828,758777
Papua New Guinea;PNG;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1892,306793
Paraguay;PRY;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;4059,773431
Peru;PER;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;2706,922532
Philippines;PHL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1704,075689
Poland;POL;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;5111,34533
Portugal;PRT;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;14593,27061
Puerto Rico (US);PRI;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;18733,64525
Qatar;QAT;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;40125,3967
Romania;ROU;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;5019,437027
