Country Name;Country Code;Series Name;Series Code;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2000;1998;1996
Bolivia;BOL;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,8045643;-0,8232153;-0,8237458;-0,8143488;-0,7783732;-0,754699;-0,6409494;-0,5857827;-0,698911;-0,5781748;-0,4112377;-0,5487867;-0,5457949;-0,4800088;-0,4523903;-0,7617554;-0,6249148;-0,8453814;-0,8366592;-0,4524023;-0,3936453;-0,5750129
Bosnia and Herzegovina;BIH;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,6246595;-0,6387532;-0,6404386;-0,5769795;-0,4684034;-0,4923931;-0,3542824;-0,3230858;-0,405939;-0,5013971;-0,463675;-0,4251292;-0,4488607;-0,4313474;-0,3444413;-0,4170295;-0,4386068;-0,3678076;-0,3714306;-0,6041293;-0,4897944;-0,5231485
Botswana;BWA;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,7218389;0,8223154;0,851239;0,7790808;0,8579361;0,7957375;0,8215662;0,9806396;1,0357782;1,0051672;1,0119522;0,9356014;1,0295129;0,9258834;0,9295641;1,170669;0,9443983;1,2396807;0,7836907;0,9811381;0,990283;0,9915488
Brazil;BRA;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,3372316;-0,372764;-0,407628;-0,4693688;-0,3668177;-0,3512683;-0,2351787;-0,0608636;-0,0113872;0,2097513;-0,0150966;-0,0402027;-0,0919325;-0,2877377;-0,2132726;-0,2471616;-0,1041693;0,0538006;0,0977714;0,1106033;0,1677642;0,1194144
Brunei Darussalam;BRN;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;1,183555;1,1831673;1,2159731;1,2166994;1,0855421;1,2048251;1,2036828;0,9963226;0,9671207;0,945319;0,9284875;0,9266343;0,2792377;0,1804524;0,1842129;0,1789631;0,2083065;0,1825345;0,1845583;0,3709386;0,3793189;0,7430807
Bulgaria;BGR;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,2584157;-0,1252922;-0,1893944;-0,3083773;-0,3444028;-0,4387083;-0,3904198;-0,3480638;-0,3572623;-0,3558139;-0,3206264;-0,2486442;-0,1116766;-0,061456;0,1068729;0,0235431;0,1341795;-0,0561659;-0,0007996;-0,1491299;0,0438167;-0,1917521
Burkina Faso;BFA;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-0,2018274;-0,2008751;-0,1575363;-0,1525315;-0,2212838;-0,3288238;-0,4450109;-0,4520066;-0,375203;-0,3476654;-0,3817262;-0,3887861;-0,3391636;-0,3632133;-0,3297589;-0,3014107;-0,2919893;-0,0366614;-0,0241316;-0,0198672;-0,039316;0,2221588
Burundi;BDI;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,3529714;-1,4706435;-1,4646425;-1,3126405;-1,2905502;-1,2586575;-1,2665737;-1,3468046;-1,3979996;-1,2549651;-1,2408811;-1,1815653;-1,1482657;-1,1378989;-1,0671328;-1,0594009;-0,958209;-0,7026173;-0,7006576;-0,9095626;-0,8716083;-0,8688327
Cabo Verde;CPV;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;0,8002643;0,8894292;0,8724586;0,8080692;0,8563504;0,888954;0,8877993;0,8253651;0,8821601;0,9223281;0,8461885;0,88572;0,8879289;0,7952378;0,7083824;0,5718588;0,2245775;0,2967351;0,2984646;0,9189392;0,8461359;0,8518842
Cambodia;KHM;Control of Corruption - Governance estimate (approx. -2.5 to +2.5);GOV_WGI_CC.EST;-1,1175106;-1,3389044;-1,4286146;-1,3304853;-1,3323199;-1,2799008;-1,2606479;-1,1373777;-1,1374421;-1,3007746;-1,19379;-1,1931259;-1,1588469;-1,0513221;-1,1364746;-1,166689;-1,0053897;-0,9440919;-0,9132706;-0,9101576;-0,9057603;-0,9042563
