Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
School enrollment, secondary (% gross);SE.SEC.ENRR;British Virgin Islands;VGB;88,58300018;91,23377228;88,04347992;..;92,7053833;..;..;..;..;98,30838776;96,06349182;95,94595337;93,76103973;94,28405762;97,43151093;106,8104401;110,118042;107,3184433;..;104,8596115;105,8976974;98,26264691;97,99498747;96,7221135;96,87957094;99,21683798;98,64209505;88,77952756;65,91774562;71,86340015;73,95017794
School enrollment, secondary (% gross);SE.SEC.ENRR;Brunei Darussalam;BRN;..;77,10701752;78,61264801;80,16481781;79,5582428;..;..;..;80,89105988;83,04225922;82,85835266;84,98230743;86,76892853;87,80413055;90,8928299;93,68730927;97,55925751;98,34085846;98,77236176;100,7200394;101,0116882;102,1111221;105,2297592;102,3926926;96,28486633;92,81616974;90,09861755;88,68147278;89,18180847;88,29103088;86,68578103
School enrollment, secondary (% gross);SE.SEC.ENRR;Bulgaria;BGR;..;..;..;..;..;..;..;..;..;..;..;80,94407654;83,981987;88,11878204;90,53427124;91,36676788;92,41201019;93,15415955;92,38407135;92,52137756;94,18192291;96,43612671;95,39035034;100,7858124;104,9421997;103,8893433;103,0039215;103,4610214;104,0439224;102,6569366;101,3549423
School enrollment, secondary (% gross);SE.SEC.ENRR;Burkina Faso;BFA;6,788619995;7,12624979;7,331989765;7,737080097;8,05136013;..;..;..;..;9,299440384;9,855899811;10,03964043;..;11,2848196;12,36769962;13,37232971;14,15445995;15,27937031;17,99473953;19,43535042;21,17802019;23,17643719;25,2399681;27,60088807;29,56687444;32,89313436;34,93362808;37,16275108;39,62784675;40,07704603;39,25400848
School enrollment, secondary (% gross);SE.SEC.ENRR;Burundi;BDI;4,603919983;5,194039822;5,529369831;6,100450039;..;..;..;..;..;..;..;9,419989586;9,927399635;10,25634956;11,80930996;12,97706985;14,33810997;15,33611965;..;20,89340019;23,76470947;26,79438019;29,57328987;34,21245073;40,26412587;43,93519298;47,47153428;48,22434873;46,33039417;41,83524175;44,91517174
School enrollment, secondary (% gross);SE.SEC.ENRR;Cabo Verde;CPV;18,44227982;..;..;..;25,66823959;..;..;..;..;..;65,05513763;63,20785141;66,39998627;67,32740784;66,94004059;70,26360321;81,58348846;80,47104645;82,10888672;81,22569275;83,54713301;86,70001533;89,96340826;94,75260925;93,60746648;96,60122863;98,25284581;99,46278226;94,89720154;95,29022856;98,30930237
School enrollment, secondary (% gross);SE.SEC.ENRR;Cambodia;KHM;..;38,55567169;..;..;..;..;..;..;16,92086983;16,58275032;18,12844086;20,17657089;23,89594078;27,83922005;30,97751045;..;39,14353943;41,73656082;44,25049973;..;..;..;..;..;..;..;..;48,94244587;50,19909972;49,73445189;51,81969833
School enrollment, secondary (% gross);SE.SEC.ENRR;Cameroon;CMR;25,88389969;27,38904953;28,28877068;..;27,16192055;26,18549919;..;24,52286911;25,41883087;26,94887924;28,46063995;33,58327866;29,3418808;30,93568039;27,50962067;28,00790024;24,40801048;33,44971848;37,84880829;41,77436066;..;49,87324611;53,10208872;54,90127849;59,12535636;60,49608836;61,40370451;..;..;..;..
School enrollment, secondary (% gross);SE.SEC.ENRR;Canada;CAN;..;..;..;..;..;..;..;..;..;..;101,9927368;..;..;..;..;100,2748566;100,4493103;101,2722473;102,2784195;102,97995;102,5102615;102,8239517;110,8738327;111,407608;111,6815567;111,7372818;111,6073303;111,9745178;111,8336792;110,980072;109,6280594
School enrollment, secondary (% gross);SE.SEC.ENRR;Cayman Islands;CYM;..;..;..;..;..;..;..;..;..;90,18868256;94,20755768;86,39556122;81,68179321;..;87,43930054;88,30519104;88,03523254;89,9581604;94,58740234;..;..;92,34708393;89,14686825;88,64171683;..;..;..;..;89,01408451;88,12251282;84,09091187
