Series Name;Series Code;Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Botswana;BWA;2,049023856;3,070979269;1,971537955;1,148281953;1,62952199;2,321354519;1,249041184;1,382627649;0,852197294;1,358616621;2,377147023;1,163853625;0,914120248;1,931449073;3,223967602;2,343433042;6,442145013;7,412418498;3,962204519;2,245722435;2,105195059;1,894285052;2,25863531;1,425140804;0,92775776;0,804774555;0,762292638;0,880112469;0,869694754;0,656053806;0,675042393
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Brazil;BRA;2,681673899;2,321097342;2,48015551;2,056631272;1,373197742;1,148775609;1,148891708;1,038958945;0,962811622;1,714509741;2,159120072;2,237741238;2,81546731;2,700344294;2,534960365;3,650474977;3,827145159;4,102014946;4,776048833;2,384873876;3,64871283;4,33686639;3,85552496;3,786860284;3,286232795;2,35832735;2,430135322;2,733757678;3,617591202;3,217173033;3,22987656
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;British Virgin Islands;VGB;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Brunei Darussalam;BRN;38,94423345;24,54448977;26,00345513;27,54145021;26,06340431;23,95933237;26,94441007;25,89324371;18,2806644;24,37018079;34,98067973;28,06895874;25,60908651;28,18666525;30,67369555;34,8705619;37,40658778;33,59915679;31,9744921;23,55210448;26,7152442;29,60862114;25,20928896;21,47323232;22,09864746;18,89829893;15,67377093;17,15059027;22,50766674;20,84931772;13,75245458
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Bulgaria;BGR;1,114381923;1,389223506;1,388707887;0,977500985;1,094989854;0,853350672;1,001624722;0,969971854;0,537067261;0,617206953;0,682250474;0,71433521;0,459805802;0,430571953;1,137211743;0,98190151;1,831438115;1,686472368;1,974702766;0,704216079;1,679754037;2,142670048;1,604648805;1,107632317;0,784766836;0,658724232;0,526340831;0,749247066;0,678372707;0,580269555;0,618935968
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Burkina Faso;BFA;6,816252438;7,260463956;6,385943255;5,603071099;11,60330593;13,84372632;12,82650508;12,75842185;11,68355516;4,632223202;5,334608665;4,767832967;5,728161545;6,323634577;5,437260057;6,373526503;6,433447653;7,812924134;8,596970708;9,578453279;11,08609214;13,63619334;12,40160284;10,75234065;10,31090556;11,63285023;12,61551724;12,30990896;8,876195944;8,327973185;9,177826877
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Burundi;BDI;13,37103255;12,69454593;14,02066839;14,23864858;17,06171534;24,02891351;28,92466302;23,62156395;27,01923838;15,41724374;15,06093519;18,81207809;24,30142546;40,4921952;30,45452019;26,68076751;23,94917946;32,35635677;33,04824404;30,33665756;23,85337574;24,98915895;17,55019993;17,73285532;17,45474834;15,53445315;19,10164998;18,50767497;13,43176299;13,12743764;13,84755216
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Cabo Verde;CPV;59,43334366;56,33324488;45,70774421;27,14440866;28,72348148;29,99935871;29,52371499;28,622061;22,56225008;14,28439088;17,46492018;24,26330643;19,19753734;14,35618347;25,65397201;32,15302204;30,85329337;22,05233307;49,20578761;21,74973758;33,28737049;40,13409833;25,05584706;16,55793877;12,00935424;9,498123972;10,1923208;12,32030945;14,34366817;13,16112967;11,58279868
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Cambodia;KHM;..;..;..;5,471296234;6,743921932;8,326751948;8,266182077;7,12815375;6,556082215;3,393557208;2,469043972;2,530915634;2,595476152;3,410502631;3,204116393;1,808815428;1,806869951;2,24551946;3,099840616;2,862780067;2,69595953;3,050949143;2,30628839;1,914214581;2,548820527;1,817686573;1,847957652;1,937353086;0,878243793;0,71448569;0,939357676
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Cameroon;CMR;11,9086297;7,768893223;7,80091581;5,299073629;8,654952425;8,983793354;9,193799163;8,909709861;5,515317516;5,151247341;8,335748175;5,684395368;5,279828085;5,082680507;4,731787887;7,391665666;8,543908008;8,98192175;10,07692778;5,823854385;6,920418862;8,164166084;8,405814175;7,333028825;7,035907313;5,6356334;5,367372165;6,083526408;6,104639863;5,555844243;4,342022685
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Canada;CAN;2,751496606;2,105189308;2,356466633;2,618825014;2,487359685;2,486301963;3,202988449;2,711907407;1,695138108;2,362160862;4,607517582;3,497365235;2,868614452;4,129237652;4,438217269;5,564819086;4,083816622;3,90022694;5,073616904;1,923041198;2,127542272;2,593470208;1,443076745;1,714202672;1,688532935;0,332933838;0,786494937;1,196904703;1,798204317;1,93317583;1,241818746
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Cayman Islands;CYM;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Central African Republic;CAF;6,362185279;6,171536684;6,894692558;6,522793603;11,76658737;12,39677337;12,00715475;13,19640012;13,53625768;9,612906861;11,18345412;10,87092455;11,35920177;11,7035945;8,168311801;8,635320127;10,01493919;9,947736704;11,74272745;8,763574399;7,89856276;8,450498532;9,167683843;13,29568815;11,26607225;12,69262339;13,05826289;13,41759038;11,17874248;9,811123019;9,885328865
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Chad;TCD;7,517348187;6,911052028;7,23066187;8,506966557;12,19880964;14,21634866;12,72771738;12,45518145;11,6316656;9,504021487;10,57349771;8,365047767;8,651860884;14,3393379;34,92642792;36,32059884;34,25991095;33,06052068;33,91959284;19,39639859;23,78140563;28,1688126;24,79335562;20,04363042;15,68822038;11,97120711;13,11006116;16,8846139;20,93994138;19,64995887;13,93309017
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Channel Islands;CHI;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0;0;0;0;..;..;..;..;..;..;..;..;..;..;..;..;..
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Chile;CHL;11,16741759;5,94722567;4,631715522;3,354116222;4,884933064;6,556309775;4,958696109;4,605202778;2,511727771;3,669460305;4,870949373;3,940160871;3,696582295;5,011620909;9,566653412;9,796308433;17,34884937;17,15175672;13,82543935;8,7920405;11,98816284;12,16451854;9,054426373;7,662324235;6,87780503;4,044618704;3,205695723;5,302617925;5,837077262;2,568892661;5,487169367
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;China;CHN;8,638700381;6,081718871;5,338468865;4,449074165;3,280885015;3,266998885;3,004801638;2,391556647;1,715390631;1,845327367;2,697740192;2,592376727;1,956296367;2,017906695;4,724875918;5,102772885;5,52119781;6,327879363;9,648413544;3,917821208;6,286726417;7,685202899;4,088493193;2,983071683;2,310134805;1,174766591;1,052474083;1,314237667;1,425184214;1,266913676;0,863774741
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Colombia;COL;6,902906376;4,199511378;3,652009845;2,98064671;2,416951036;3,128409784;3,723840394;3,066702306;2,054300242;4,321811829;5,792412752;3,898278216;3,950071891;4,563029203;5,928136726;6,261158456;7,290626786;6,699773116;8,788226917;4,85703346;6,70109253;9,860491552;8,296830791;7,38433936;6,530577898;3,705876146;3,099477145;3,728233211;4,940258189;4,304330929;2,551194176
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Comoros;COM;0,733042704;0,752536474;0,732272833;0,633194862;1,091606346;1,689939328;1,725396132;1,760660865;1,832497564;1,271047552;1,399519881;1,273430224;1,375146732;1,655367519;1,232593207;1,297308546;1,265309639;1,58338532;1,716692455;1,749119163;1,593442398;1,633542186;1,916536866;1,841063364;1,976956784;2,465764268;2,506756508;2,363853111;1,551942789;1,486523561;1,599209654
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Congo, Dem. Rep.;COD;20,06545944;13,33100877;15,84997229;10,71546453;23,56337336;36,29214106;36,29903341;32,2278075;32,18290011;28,49657879;7,511260461;18,42000949;18,86768592;29,55335664;24,08642146;23,74286551;24,02581618;25,76370802;28,45840709;28,26180082;25,96088464;28,88304749;27,12297046;25,74621951;24,55687799;20,10939273;20,5721227;24,76565584;18,41677579;12,75005858;15,92819733
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Congo, Rep.;COG;42,726097;25,3754326;27,61595398;32,03667425;39,6825674;39,12890967;39,26877533;45,59159234;30,52293074;39,24372254;59,68387252;48,0984535;46,64501144;39,31729453;40,08204823;48,09891143;53,31476209;47,48708376;52,64450299;35,57790927;43,93984142;51,84373021;41,35734914;33,14484956;27,65823129;15,8857046;17,00003927;29,80638077;42,66820465;39,24303916;26,21813242
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Costa Rica;CRI;3,293625364;2,770585198;2,571394245;2,203274888;2,368552024;2,905949411;2,578770763;2,287302857;1,518171984;1,154233514;1,014415578;1,051218449;0,981118861;1,020448801;1,001105936;1,121429787;1,491984093;1,638402282;1,486549115;1,230147594;1,627167159;1,263849901;1,242577257;1,341229017;1,387670719;1,133974483;1,233220833;1,133839555;0,945537296;0,759689841;0,90474824
Total natural resources rents (% of GDP);NY.GDP.TOTL.RT.ZS;Cote d'Ivoire;CIV;4,089564906;3,477485653;3,460290064;3,387548553;5,299507918;5,164865015;3,10906316;2,797070402;2,46774712;2,230640624;2,862114911;2,322087857;2,45890648;2,648835549;2,493217078;3,711976777;5,601584476;4,983872468;5,562002519;3,873231973;4,330138035;5,532399502;5,367571764;4,155035877;3,419355111;3,072596697;3,230530718;3,388768016;3,109969095;2,958271582;2,591638581
